Dag;Måltid;Plan-namn;Bas-namn;Match;Metod;PPTX-exempel
"Torsdag";"lunch";"Het ratatouille (157 kcal) rester";"Het ratatouille";"MATCH";"contains";"Het ratatouille – 2 portioner ½ rödlök ¼ squash ½ paprika 1 morot 200 g blomkål ½ msk olivolja att steka i 1 vitlöksklyfta 200 g konserverade krossade tomater ½ krm chiliflakes 1 tsk flytande honung 1 tsk torkade örter salt och svartpeppar 3 dl rucolasallad Skär rödlök, squash och paprika i bitar. Dela moroten i bitar. Dela blomkålen i små buketter. Riv vitlöken fint. Hetta upp en stekpanna med olivolja och fräs grönsakerna ihop med vitlök i några minuter. Blanda ner krossade tomater, chiliflakes och honung. Krydda med torkade örter, salt och peppar .Låt puttra i 10 minuter. Lägg upp på en tallrik eller lägg i en lunchbox och servera med rucolasallad."
"Torsdag";"dinner";"Pokébowl med kyckling (350 kcal) rester";"Pokébowl med kyckling";"MATCH";"contains";"Kyckling"
"Fredag";"breakfast";"1 havrefrallor med morötter och aprikoser + valfritt pålägg (354 kcal)";"1 havrefrallor med morötter och aprikoser + valfritt pålägg";"MATCH";"tokens(2)";"Havre frallor med morötter och aprikoser - 8 st 4 dl havregryn torkade aprikoser morot 3 dl keso 4% 4 ä gg 1 dl solroskärnor 1 dl pumpafrön 1 dl hampafrön 1 dl sesamfrön 1.5 tsk bakpulver 1 krm salt Topping : 1/2 dl hampafrön Sätt ugnen p å 200 grader. Skala och riv morot grovt. Hacka aprikoserna. Lägg i en skål med alla ingredienser. Blanda ihop och f orma till avlånga bullar. Lägg på en bakplåtsklädd plåt och strö på hampafrön . Grä dda i ugnen ca: 2 0 min. L å t svalna och förvara i frysen."
"Fredag";"lunch";"Köttfärsbiffar med stekt blomkål (355 kcal)rester";"Köttfärsbiffar med stekt blomkål";"MATCH";"contains";"Kött"
"Fredag";"dinner";"Kycklinggryta med bakad spetskål (650 kcal)";"Kycklinggryta med bakad spetskål";"MATCH";"contains";"Kycklinggryta med bakad spetskål – 4 portioner 1 spetskålshuvud, 300 g 1 msk olivolja Salt och svartpeppar ½ gul lök ½ rödlök 2 vitlöksklyftor ½ röd paprika ½ gul paprika 2 tomater 800 g kycklinglårfilé 250 g kabanoss ½ msk olivolja ksm örtagårdskrydda 1 hönsbuljongtärning ½ dl ajvar relish 1 dl blandade oliver 2 msk färsk timjan 4 dl vatten Tillbehör: 1 dl rostad lök 1 dl grekisk yoghurt Lite färsk timjan Sätt ugnen på 200 grader. Skär spetskålen i 4 klyftor och lägg på en ugnsplåt. Ringla olivolja över och strö på salt och peppar. Sätt in i ugnen i 15-20 min. Skala och hacka gul lök och skiva rödlök. Skala och riv vitlöken. Skär paprika och tomat i mindre bitar. Strö på salt och peppar på kycklingen och skiva korven. Hetta upp en stekpanna med olja och lägg ner kyckling, korv, vitlök och gul lök. Låt steka några minuter och krydda med örtagårdskrydda. Hacka timjan. Lägg ner tomater, hönsbuljongtärning, ajvar relish , oliver, timjan och blanda om. Häll på vatten och sätt på ett lock. Tillsätt paprika och rödlök och låt steka några minuter. Tillsätt blandningen i grytan. Låt grytan koka ytterligare 30 minuter. Servera kycklinggrytan med spetskål och toppa med rostad lök och yoghurt. Dekorera med färsk timjan."
"Lördag";"breakfast";"Tropisk smoothiebowl (461 kcal)";"Tropisk smoothiebowl";"MATCH";"contains";"Tropisk smoothiebowl – 2 portioner 100 g fryst mango 100 g fryst ananas 1 banan 1 dl mandelmjölk Topping : 1/3 dl färsk mango, 1 passionsfrukt, 2 msk kokosskivor, 2 msk hackade pistagenötter Lägg mango, ananas och banan i en matberedare och mixa till en krämig smet. Häll på lite mandelmjölk och mixa till en bra konsistens. Häll upp i en skål och toppa med mango, passionsfrukt, kokosskivor och pistagenötter."
"Lördag";"lunch";"Kycklinggryta med bakad spetskål (650 kcal)rester";"Kycklinggryta med bakad spetskål";"MATCH";"contains";"Kycklinggryta med bakad spetskål – 4 portioner 1 spetskålshuvud, 300 g 1 msk olivolja Salt och svartpeppar ½ gul lök ½ rödlök 2 vitlöksklyftor ½ röd paprika ½ gul paprika 2 tomater 800 g kycklinglårfilé 250 g kabanoss ½ msk olivolja ksm örtagårdskrydda 1 hönsbuljongtärning ½ dl ajvar relish 1 dl blandade oliver 2 msk färsk timjan 4 dl vatten Tillbehör: 1 dl rostad lök 1 dl grekisk yoghurt Lite färsk timjan Sätt ugnen på 200 grader. Skär spetskålen i 4 klyftor och lägg på en ugnsplåt. Ringla olivolja över och strö på salt och peppar. Sätt in i ugnen i 15-20 min. Skala och hacka gul lök och skiva rödlök. Skala och riv vitlöken. Skär paprika och tomat i mindre bitar. Strö på salt och peppar på kycklingen och skiva korven. Hetta upp en stekpanna med olja och lägg ner kyckling, korv, vitlök och gul lök. Låt steka några minuter och krydda med örtagårdskrydda. Hacka timjan. Lägg ner tomater, hönsbuljongtärning, ajvar relish , oliver, timjan och blanda om. Häll på vatten och sätt på ett lock. Tillsätt paprika och rödlök och låt steka några minuter. Tillsätt blandningen i grytan. Låt grytan koka ytterligare 30 minuter. Servera kycklinggrytan med spetskål och toppa med rostad lök och yoghurt. Dekorera med färsk timjan."
"Lördag";"dinner";"Laxburgare med krämig grönsaksröra (700 kcal) Mangoglass (123 kcal)";"Laxburgare med krämig grönsaksröra";"MATCH";"contains";"Laxburgare med krämig grönsaksröra – 2 portioner 250 g laxfilé 1 salladslök 1 msk färsk ingefära 1 vitlöksklyfta Salt och svartpeppar Saft av ½ lime 2 msk sesamfrön ½ msk olivolja 1 msk furikakekrydda Krämig grönsaksröra 200 g frysta sojabönor 100 g sugarsnaps 1 salladslök 100 g kräftstjärtar i lake ½ dl gräddfil 2 msk majonnäs ½ msk malen curry Salt och svartpeppar Skär laxen i bitar. Strimla salladslök. Lägg ner fisk, hälften av salladslöken, ingefära och vitlök i en matberedare. Krydda med salt och peppar och pressa ner limesaft. Mixa till en jämn färs och forma till 2 biffar. Doppa i sesamfrön. Koka sojabönor snabbt och lägg i en skål. Skiva sugarsnaps och salladslök och lägg i skålen. Blanda ner resten av ingredienserna. Spara lite kräftstjärtar till dekoration. Hetta upp en stekpanna med olja och bryn laxbiffarna 4-5 min per sida på svag värme. Strö på furikakekrydda . Servera med bladspenat och den krämiga grönsaksröran. Toppa med granatäpplekärnor, kräftstjärtar och salladslök. Dekorera med en limeklyfta. ."
"Söndag";"breakfast";"Tropisk smoothiebowl (461 kcal) rester";"Tropisk smoothiebowl";"MATCH";"contains";"Tropisk smoothiebowl – 2 portioner 100 g fryst mango 100 g fryst ananas 1 banan 1 dl mandelmjölk Topping : 1/3 dl färsk mango, 1 passionsfrukt, 2 msk kokosskivor, 2 msk hackade pistagenötter Lägg mango, ananas och banan i en matberedare och mixa till en krämig smet. Häll på lite mandelmjölk och mixa till en bra konsistens. Häll upp i en skål och toppa med mango, passionsfrukt, kokosskivor och pistagenötter."
"Söndag";"lunch";"Laxburgare med krämig grönsaksröra (700 kcal) rester";"Laxburgare med krämig grönsaksröra";"MATCH";"contains";"Laxburgare med krämig grönsaksröra – 2 portioner 250 g laxfilé 1 salladslök 1 msk färsk ingefära 1 vitlöksklyfta Salt och svartpeppar Saft av ½ lime 2 msk sesamfrön ½ msk olivolja 1 msk furikakekrydda Krämig grönsaksröra 200 g frysta sojabönor 100 g sugarsnaps 1 salladslök 100 g kräftstjärtar i lake ½ dl gräddfil 2 msk majonnäs ½ msk malen curry Salt och svartpeppar Skär laxen i bitar. Strimla salladslök. Lägg ner fisk, hälften av salladslöken, ingefära och vitlök i en matberedare. Krydda med salt och peppar och pressa ner limesaft. Mixa till en jämn färs och forma till 2 biffar. Doppa i sesamfrön. Koka sojabönor snabbt och lägg i en skål. Skiva sugarsnaps och salladslök och lägg i skålen. Blanda ner resten av ingredienserna. Spara lite kräftstjärtar till dekoration. Hetta upp en stekpanna med olja och bryn laxbiffarna 4-5 min per sida på svag värme. Strö på furikakekrydda . Servera med bladspenat och den krämiga grönsaksröran. Toppa med granatäpplekärnor, kräftstjärtar och salladslök. Dekorera med en limeklyfta. ."
"Söndag";"dinner";"Ugnsbakad tomat med köttfärs (507 kcal)";"Ugnsbakad tomat med köttfärs";"MATCH";"contains";"Kött"
